VENUE,TEAM1,TEAM2,STAGE,TOSS WINNER,TOSS DECISION,FIRST INNINGS SCORE,FIRST INNINGS WICKETS,SECOND INNINGS SCORE,SECOND INNINGS WICKETS,WINNER,WON BY,PLAYER OF THE MATCH,TOP SCORER,HIGHEST SCORE,BEST BOWLER,BEST BOWLING FIGURE
SCG,NEW ZEALAND,AUSTRALIA,SUPER 12,AUSTRALIA,FIELD,200,3,111,10,NEW ZEALAND,RUNS,DEVON CONWAY,DEVON CONWAY,92,TIM SOUTHEE,3/6
OPTUS STADIUM,AFGHANISTAN,ENGLAND,SUPER 12,ENGLAND,FIELD,112,10,113,5,ENGLAND,WICKETS,SAM CURRAN,IBRAHIM ZADRAN,32,SAM CURRAN,5/10
BLUNDSTONE ARENA,IRELAND,SRI LANKA,SUPER 12,IRELAND,BAT,128,8,133,1,SRI LANKA,WICKETS,KUSAL MENDIS,KUSAL MENDIS,68,MAHEESH THEEKSHANA,2/19
MCG,PAKISTAN,INDIA,SUPER 12,INDIA,FIELD,159,8,160,6,INDIA,WICKETS,VIRAT KOHLI,VIRAT KOHLI,82,HARDIK PANDYA,3/30
BLUNDSTONE ARENA,BANGLADESH,NETHERLANDS,SUPER 12,NETHERLANDS,FIELD,144,8,135,10,BANGLADESH,RUNS,TASKIN AHMED,COLIN ACKERMANN,62,TASKIN AHMED,4/25
BLUNDSTONE ARENA,ZIMBABWE,SOUTH AFRICA,SUPER 12,ZIMBABWE,BAT,79,5,51,0,,,,QUINTON DE KOCK,47,LUNGI NGIDI,2/20
OPTUS STADIUM,SRI LANKA,AUSTRALIA,SUPER 12,AUSTRALIA,FIELD,157,6,158,3,AUSTRALIA,WICKETS,MARCUS STOINIS,MARCUS STOINIS,59,GLENN MAXWELL,1/6
MCG,IRELAND,ENGLAND,SUPER 12,ENGLAND,FIELD,157,10,105,5,IRELAND,RUNS,ANDREW BALBIRNIE,ANDREW BALBIRNIE,62,LIAM LIVINGSTONE,3/17
MCG,NEW ZEALAND,AFGHANISTAN,SUPER 12,,,,MATCH ABANDONED!!!,,,,,,,,,
SCG,SOUTH AFRICA,BANGLADESH,SUPER 12,SOUTH AFRICA,BAT,205,5,101,10,SOUTH AFRICA,RUNS,RILEE ROSSOUW,RILEE ROSSOUW,109,ANRICH NORTJE,4/10
SCG,INDIA,NETHERLANDS,SUPER 12,INDIA,BAT,179,2,123,9,INDIA,RUNS,SURYAKUMAR YADAV,VIRAT KOHLI,62,BHUVNESHWAR KUMAR,2/19
OPTUS STADIUM,ZIMBABWE,PAKISTAN,SUPER 12,ZIMBABWE,BAT,130,8,129,8,ZIMBABWE,RUNS,SIKANDAR RAZA,SHAN MASOOD,44,MOHAMMAD WASIM,4/24
MCG,AFGHANISTAN,IRELAND,SUPER 12,,,,MATCH ABANDONED!!!,,,,,,,,,
MCG,AUSTRALIA,ENGLAND,SUPER 12,,,,MATCH ABANDONED!!!,,,,,,,,,
SCG,NEW ZEALAND,SRI LANKA,SUPER 12,NEW ZEALAND,BAT,167,7,102,10,NEW ZEALAND,RUNS,GLENN PHILLIPS,GLENN PHILLIPS,104,TRENT BOULT,4/13
THE GABBA,BANGLADESH,ZIMBABWE,SUPER 12,BANGLADESH,BAT,150,7,147,8,BANGLADESH,RUNS,TASKIN AHMED,NAJMUL HOSSAIN,71,TASKIN AHMED,3/19
OPTUS STADIUM,NETHERLANDS,PAKISTAN,SUPER 12,NETHERLANDS,BAT,91,9,95,4,PAKISTAN,WICKETS,SHADAB KHAN,MOHAMMAD RIZWAN,49,SHADAB KHAN,3/22
OPTUS STADIUM,INDIA,SOUTH AFRICA,SUPER 12,INDIA,BAT,133,9,137,5,SOUTH AFRICA,WICKETS,LUNGI NGIDI,SURYAKUMAR YADAV,68,LUNGI NGIDI,4/29
THE GABBA,AUSTRALIA,IRELAND,SUPER 12,IRELAND,FIELD,179,5,137,10,AUSTRALIA,RUNS,AARON FINCH,LORCAN TUCKER,71,BARRY MCCARTHY,3/29
THE GABBA,AFGHANISTAN,SRI LANKA,SUPER 12,AFGHANISTAN,BAT,144,8,148,4,SRI LANKA,WICKETS,WANINDU HASARANGA,DE SILVA,66,WANINDU HASARANGA,3/13
THE GABBA,ENGLAND,NEW ZEALAND,SUPER 12,ENGLAND,BAT,179,6,159,6,ENGLAND,RUNS,JOS BUTTLER,JOS BUTTLER,73,SAM CURRAN,4/26
ADELAIDE OVAL,ZIMBABWE,NETHERLANDS,SUPER 12,ZIMBABWE,BAT,117,10,120,5,NETHERLANDS,WICKETS,MAX O'DOWD,MAX O'DOWD,52,PAUL VAN MEEKEREN,3/29
ADELAIDE OVAL,INDIA,BANGLADESH,SUPER 12,BANGLADESH,FIELD,184,6,145,6,INDIA,RUNS,VIRAT KOHLI,VIRAT KOHLI,64,HASAN MAHMUD,3/47
SCG,PAKISTAN,SOUTH AFRICA,SUPER 12,PAKISTAN,BAT,185,9,108,9,PAKISTAN,RUNS,SHADAB KHAN,SHADAB KHAN,52,ANRICH NORTJE,4/41
ADELAIDE OVAL,NEW ZEALAND,IRELAND,SUPER 12,IRELAND,FIELD,185,6,150,9,NEW ZEALAND,RUNS,KANE WILLIAMSON,KANE WILLIAMSON,61,LOCKIE FERGUSON,3/22
ADELAIDE OVAL,AUSTRALIA,AFGHANISTAN,SUPER 12,AFGHANISTAN,FIELD,168,8,164,7,AUSTRALIA,RUNS,GLENN MAXWELL,GLENN MAXWELL,54,NAVEEN-UL-HAQ,3/21
SCG,SRI LANKA,ENGLAND,SUPER 12,SRI LANKA,BAT,141,8,144,6,ENGLAND,WICKETS,ADIL RASHID,PATHUM NISSANKA,67,MARK WOOD,3/26
ADELAIDE OVAL,NETHERLANDS,SOUTH AFRICA,SUPER 12,SOUTH AFRICA,FIELD,158,4,145,8,NETHERLANDS,RUNS,COLIN ACKERMANN,COLIN ACKERMANN,41,BRANDON GLOVER,3/10
ADELAIDE OVAL,BANGLADESH,PAKISTAN,SUPER 12,BANGLADESH,BAT,127,8,128,5,PAKISTAN,WICKETS,SHAHEEN AFRIDI,NAJMUL HOSSAIN,54,SHAHEEN AFRIDI,4/22
MCG,INDIA,ZIMBABWE,SUPER 12,INDIA,BAT,186,5,115,10,INDIA,RUNS,SURYAKUMAR YADAV,SURYAKUMAR YADAV,61,RAVICHANDRAN ASHWIN,3/22
SCG,NEW ZEALAND,PAKISTAN,SEMI-FINAL,NEW ZEALAND,BAT,152,4,153,3,PAKISTAN,WICKETS,MOHAMMAD RIZWAN,MOHAMMAD RIZWAN,57,SHAHEEN AFRIDI,2/24
ADELAIDE OVAL,INDIA,ENGLAND,SEMI-FINAL,ENGLAND,FIELD,168,6,170,0,ENGLAND,WICKETS,ALEX HALES,ALEX HALES,86,CHRIS JORDAN,3/43
MCG,PAKISTAN,ENGLAND,FINAL,ENGLAND,FIELD,137,8,138,5,ENGLAND,WICKETS,SAM CURRAN,BEN STOKES,52,SAM CURRAN,3/10
